rank,still,strength,wins,games
1,e3__E3_player,5.083,3.0,3
2,e3__E3_gate_low,4.954,5.0,5
3,e3__E3_stone,4.782,7.0,7
4,e3__E3_hero,2.697,7.0,7
5,e3__E3_gate,2.078,4.0,4
6,e1__E1_player,0.209,5.0,8
7,e3__E3_path_low,0.047,4.5,5
8,e1__E1_path_low,0.044,4.5,8
9,e1__E1_wide,0.030,2.5,4
10,e1__E1_hero,0.029,4.0,6
11,e3__E3_wide,0.025,4.5,6
12,e1__E1_stone,0.019,2.0,4
13,e3__lineup_generated,0.001,1.0,3
14,e1__E1_gate,0.001,1.0,3
15,baseline__LR10_path_low,0.000,0.0,5
16,baseline__LR10_player,0.000,0.0,6
17,e1__E1_gate_low,0.000,2.5,8
18,baseline__LR10_gate,0.000,0.5,10
19,baseline__LR10_hero,0.000,0.0,8
20,baseline__LR9B_stone,0.000,0.0,6
